cat_type,category,subcategory,litres,netsales,fy_qtr
Wine,Austria Wine,Austria Red Wine,564,16696,FY2021Q2
Wine,Austria Wine,Austria Red Wine,1282,39693,FY2021Q3
Wine,Austria Wine,Austria Rose Wine,50,1451,FY2020Q3
Wine,Austria Wine,Austria Rose Wine,0,0,FY2020Q4
Wine,Austria Wine,Austria Rose Wine,0,0,FY2021Q1
Wine,Austria Wine,Austria Rose Wine,135,3728,FY2021Q2
Wine,Austria Wine,Austria Rose Wine,86,2661,FY2021Q3
Wine,Austria Wine,Austria Sparkling Wine,45,1326,FY2020Q3
Wine,Austria Wine,Austria Sparkling Wine,9,221,FY2020Q4
Wine,Austria Wine,Austria Sparkling Wine,9,221,FY2021Q1
Wine,Austria Wine,Austria Sparkling Wine,68,2493,FY2021Q2
